#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jul 07 17:44:39 2026

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       map.ncd
#OUTPUT FILE:      msb_main_pad.csv
#PART TYPE:        xc6slx4
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,RL,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P112,BC_EN,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,RESET_R,IOB,IO_L65N_SCP2_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P115,SET_R,IOB,IO_L65P_SCP3_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P116,DC,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P117,CC,IOB,IO_L64P_SCP5_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P118,GM,IOB,IO_L63N_SCP6_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P119,MG,IOB,IO_L63P_SCP7_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P120,HEAT,IOB,IO_L62N_VREF_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P121,APDS,IOB,IO_L62P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,HEF,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P124,OE_DR<1>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,OE_DR<0>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,DR<10>,IOB,IO_L36P_GCLK15_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,DR<9>,IOB,IO_L35N_GCLK16_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P132,DR<8>,IOB,IO_L35P_GCLK17_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P133,DR<7>,IOB,IO_L34N_GCLK18_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P134,DR<6>,IOB,IO_L34P_GCLK19_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,DR<5>,IOB,IO_L4N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P138,DR<4>,IOB,IO_L4P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P139,DR<3>,IOB,IO_L3N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P140,DR<2>,IOB,IO_L3P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P141,DR<1>,IOB,IO_L2N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P142,DR<0>,IOB,IO_L2P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P143,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
